entry	name	body_start	body_end
000320d0	efuse_init	000320d0	000323ff
00032400	CheckEncrypty	00032400	0003286f
00032870	read_transfer_one	00032870	00032a97
00032a98	wait_empty	00032a98	00032bcb
00032bcc	read_id	00032bcc	00032d0f
00032d10	read_uid	00032d10	00032f67
00032f68	read_otp	00032f68	000331ef
000331f0	save_flash_st	000331f0	0003329b
0003329c	recover_flash_st	0003329c	00033337
00033338	flash_init	00033338	0003339f
000333a0	check_encrypty	000333a0	0003372f
00033730	__do_global_ctors_aux	00033730	0003378f
00033790	strcmp	00033790	0003379f
000337a0	operator.delete	000337a0	000337af
000337b0	free	000337b0	000337bf
000337c0	memcpy	000337c0	000337cf
000337d0	fgets	000337d0	000337df
000337e0	time	000337e0	000337ef
000337f0	memcmp	000337f0	000337ff
00033800	__cxa_guard_release	00033800	0003380f
00033810	operator.new	00033810	0003381f
00033820	perror	00033820	0003382f
00033830	fwrite	00033830	0003383f
00033840	usleep	00033840	0003384f
00033850	fread	00033850	0003385f
00033860	strcpy	00033860	0003386f
00033870	malloc	00033870	0003387f
00033880	puts	00033880	0003388f
00033890	open	00033890	0003389f
000338a0	_M_unhook	000338a0	000338af
000338b0	feof	000338b0	000338bf
000338c0	mmap	000338c0	000338cf
000338d0	strlen	000338d0	000338df
000338e0	fprintf	000338e0	000338ef
000338f0	write	000338f0	000338ff
00033900	memset	00033900	0003390f
00033910	isalpha	00033910	0003391f
00033920	munmap	00033920	0003392f
00033930	toupper	00033930	0003393f
00033940	fputc	00033940	0003394f
00033950	sprintf	00033950	0003395f
00033960	_M_hook	00033960	0003396f
00033970	_Unwind_Resume	00033970	0003397f
00033980	close	00033980	0003398f
00033990	__cxa_guard_acquire	00033990	000339af
000339b0	_fini	000339b0	000339f7
00052000	_ITM_registerTMCloneTable	00052000	00052000
00052004	_Jv_RegisterClasses	00052004	00052004
00052008	__gmon_start__	00052008	00052008
0005200c	_ITM_deregisterTMCloneTable	0005200c	0005200c
00052010	__cxa_finalize	00052010	00052010
