address	type	name
00411010	Function	<EXTERNAL>::shmat
00411014	Function	<EXTERNAL>::perror
00411018	Function	<EXTERNAL>::waitpid
0041101c	Function	<EXTERNAL>::shmctl
00411020	Function	<EXTERNAL>::puts
00411024	Function	<EXTERNAL>::system
00411028	Function	<EXTERNAL>::__libc_start_main
0041102c	Function	<EXTERNAL>::memset
00411030	Function	<EXTERNAL>::execl
00411034	Function	<EXTERNAL>::shmdt
00411038	Function	<EXTERNAL>::fork
0041103c	Function	<EXTERNAL>::__gmon_start__
00418f70	Label	_gp
00418f70	Label	_mips_gp0_value
00418f70	Label	_gp_2
80000000	Label	DAT_80000000
fffffffe	Label	SUB_fffffffe
.comment::00000000	Label	ElfComment[0]
.debug_abbrev::00000000	Label	DAT_.debug_abbrev__00000000
.debug_aranges::00000000	Label	DAT_.debug_aranges__00000000
.debug_frame::00000000	Label	cie_.debug_frame::00000000
.debug_frame::00000010	Label	fde_.debug_frame::00000010
.debug_frame::00000040	Label	fde_.debug_frame::00000040
.debug_info::00000000	Label	DAT_.debug_info__00000000
.debug_line::00000000	Label	DAT_.debug_line__00000000
.debug_loc::00000000	Label	DAT_.debug_loc__00000000
.debug_ranges::00000000	Label	DAT_.debug_ranges__00000000
.debug_str::00000000	Label	s_../sysdeps/mips/start.S_.debug_str__00000000
.gnu.attributes::00000000	Label	DAT_.gnu.attributes__00000000
.pdr::00000000	Label	DAT_.pdr__00000000
.shstrtab::00000000	Label	DAT_.shstrtab__00000000
.strtab::00000000	Label	DAT_.strtab__00000000
.symtab::00000000	Label	Elf32_Sym_ARRAY_.symtab__00000000
_elfSectionHeaders::00000000	Label	Elf32_Shdr_ARRAY__elfSectionHeaders__00000000
